date,value
2004-11-30,0.0154829733762525
2004-12-31,0.0188704424851496
2005-01-31,0.0174455109730261
2005-02-28,0.0218019303423076
2005-03-31,0.0203042266332425
2005-04-30,0.0253658847623921
2005-05-31,0.0274729053363136
2005-06-30,0.0336065576775404
2005-07-31,0.050307432448458
2005-08-31,0.0622830628050973
2005-09-30,0.0645056435011574
2005-10-31,0.026675835825609
2005-11-30,0.0212874085277108
2005-12-31,0.0206317096186906
2006-01-31,0.0225061084347244
2006-02-28,0.0302324437799001
2006-03-31,0.0304288455687978
2006-04-30,0.0611163236677861
2006-05-31,0.0704307045456242
2006-06-30,0.0899954561808637
2006-07-31,0.0707896752682659
2006-08-31,0.0824748491564054
2006-09-30,0.0749317570013983
2006-10-31,0.0898856702343944
2006-11-30,0.1016426973420594
2006-12-31,0.0705291252950624
2007-01-31,0.0908408266550243
2007-02-28,0.0786914460005081
2007-03-31,0.1003245140118568
2007-04-30,0.1016765644791247
2007-05-31,0.1203468539821544
2007-06-30,0.1489833512050944
2007-07-31,0.1319902536917536
2007-08-31,0.108341462930766
2007-09-30,0.0766035993237758
2007-10-31,0.0704178440160773
2007-11-30,0.075142472825095
2007-12-31,0.0689427758665498
2008-01-31,0.097451335750333
2008-02-29,0.1015578029644216
2008-03-31,0.1223969990084933
2008-04-30,0.1166219161907244
2008-05-31,0.125032023184221
2008-06-30,0.1246617535251493
2008-07-31,0.1860001253849361
2008-08-31,0.2894642688232317
2008-09-30,0.2838281283030761
2008-10-31,0.3361433283729068
2008-11-30,0.3792238102727164
2008-12-31,0.3680006602634949
2009-01-31,0.49860198101211
2009-02-28,0.6387134533996
2009-03-31,0.6042318941106241
2009-04-30,0.5622526260062775
2009-05-31,0.548315272173662
2009-06-30,0.6031082701838821
2009-07-31,0.2138382685109928
2009-08-31,0.0921793634333968
2009-09-30,0.0757614275185352
2009-10-31,0.0215210313049698
2009-11-30,0.0068603245007472
2009-12-31,0.004549160615621
2010-01-31,0.0022625371357586
2010-02-28,0.0015594786577231
2010-03-31,0.001200392896136
2010-04-30,0.0010493794689943
2010-05-31,0.0010257663361522
2010-06-30,0.0007604565042244
2010-07-31,0.0009885520209143
2010-08-31,0.0022371578758322
2010-09-30,0.0033741997644406
2010-10-31,0.0064450992771879
2010-11-30,0.0087848455674546
2010-12-31,0.0120212527279501
2011-01-31,0.0145672136892442
2011-02-28,0.0164721097923715
2011-03-31,0.0258438620275978
2011-04-30,0.0255422646178677
2011-05-31,0.0254109386773679
2011-06-30,0.0293745757814345
2011-07-31,0.0323177441933383
2011-08-31,0.0356261893005134
2011-09-30,0.0412034181846681
2011-10-31,0.0360699294902275
2011-11-30,0.0433604665815695
2011-12-31,0.0529449634092519
2012-01-31,0.0975788190324407
2012-02-29,0.1509493752264321
2012-03-31,0.1655536452243612
2012-04-30,0.18019692970066
2012-05-31,0.2507233912746591
2012-06-30,0.2550865652387108
2012-07-31,0.2295905213019947
2012-08-31,0.2205789564537081
2012-09-30,0.2586159331906839
2012-10-31,0.2083978831049146
2012-11-30,0.1341915163207016
2012-12-31,0.1313642171988226
2013-01-31,0.0943636702101133
2013-02-28,0.0972879542652613
2013-03-31,0.0834332178653204
2013-04-30,0.0694072401031903
2013-05-31,0.0669115892960303
2013-06-30,0.0556654036559068
2013-07-31,0.0564573698096607
2013-08-31,0.0845506051307536
2013-09-30,0.0869453103554344
2013-10-31,0.0525710253275022
2013-11-30,0.0343822672740359
2013-12-31,0.0328032869691995
2014-01-31,0.0317234477646848
2014-02-28,0.035263737519652
2014-03-31,0.0429534447841442
2014-04-30,0.0397278616505987
2014-05-31,0.0367165462717753
2014-06-30,0.0280621212741375
2014-07-31,0.021409829922234
2014-08-31,0.0187973316315934
2014-09-30,0.0208501344354869
2014-10-31,0.0311954325024209
2014-11-30,0.0359705731414952
2014-12-31,0.0377156056836612
2015-01-31,0.0321740095654873
2015-02-28,0.0287862450105
2015-03-31,0.0344240612883578
2015-04-30,0.0299418324113998
2015-05-31,0.0325282624989277
2015-06-30,0.0338207250161329
2015-07-31,0.0294612626507153
2015-08-31,0.0179331841149308
2015-09-30,0.0233532721337676
2015-10-31,0.0060216964883102
2015-11-30,0.0034064778217563
2015-12-31,0.003690761899628
2016-01-31,0.0038750179910872
2016-02-29,0.0039698459843432
2016-03-31,0.0031208116344302
2016-04-30,0.0036069184424507
