date,payout_ratio
1989-04-27,0.32972583
1989-04-28,0.3309453
1989-04-29,0.33093327
1989-04-30,0.33093932
1989-05-01,0.3310815
1989-05-02,0.33053464
1989-05-03,0.33265463
1989-05-04,0.33661044
1989-05-05,0.3365794
1989-05-06,0.33659464
1989-05-07,0.33659607
1989-05-08,0.33653125
1989-05-09,0.33733428
1989-05-10,0.3383814
1989-05-11,0.33873338
1989-05-12,0.31378612
1989-05-13,0.31380826
1989-05-14,0.31377816
1989-05-15,0.31378546
1989-05-16,0.31558657
1989-05-17,0.31575567
1989-05-18,0.315589
1989-05-19,0.31562373
1989-05-20,0.3156214
1989-05-21,0.3156874
1989-05-22,0.31588563
1989-05-23,0.31590864
1989-05-24,0.31549105
1989-05-25,0.31577966
1989-05-26,0.3159072
1989-05-27,0.3159072
1989-05-28,0.3159072
1989-05-29,0.31590605
1989-05-30,0.31591174
1989-05-31,0.3158572
1989-06-01,0.3157795
1989-06-02,0.31601247
1989-06-03,0.31601247
1989-06-04,0.31601247
1989-06-05,0.3159612
1989-06-06,0.31591764
1989-06-07,0.31602854
1989-06-08,0.31609958
1989-06-09,0.31576985
1989-06-10,0.31576985
1989-06-11,0.31576985
1989-06-12,0.31577927
1989-06-13,0.31609532
1989-06-14,0.31626812
1989-06-15,0.3163393
1989-06-16,0.31639147
1989-06-17,0.3163942
1989-06-18,0.3163942
1989-06-19,0.31634524
1989-06-20,0.31629607
1989-06-21,0.3161895
1989-06-22,0.316119
1989-06-23,0.31613642
1989-06-24,0.31613642
1989-06-25,0.31613642
1989-06-26,0.31599355
1989-06-27,0.31596413
1989-06-28,0.31537026
1989-06-29,0.31521392
1989-06-30,0.31534773
1989-07-01,0.31534773
1989-07-02,0.3153473
1989-07-03,0.31506747
1989-07-04,0.3150798
1989-07-05,0.31506017
1989-07-06,0.31591323
1989-07-07,0.31589636
1989-07-08,0.31589636
1989-07-09,0.3158882
1989-07-10,0.3159573
1989-07-11,0.31598315
1989-07-12,0.31689286
1989-07-13,0.31584468
1989-07-14,0.31509212
1989-07-15,0.31509212
1989-07-16,0.31509212
1989-07-17,0.3144746
1989-07-18,0.31007808
1989-07-19,0.30722055
1989-07-20,0.30609894
1989-07-21,0.3076484
1989-07-22,0.30767867
1989-07-23,0.3076412
1989-07-24,0.30871537
